Size, Type, Time
100, "Sequential", 0.000009
100, "Parallel", 0.004379
100, "Built-in", 0.000012
100, "Sequential", 0.000008
100, "Parallel", 0.005775
100, "Built-in", 0.000011
100, "Sequential", 0.000034
100, "Parallel", 0.004651
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005163
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.006212
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004304
100, "Built-in", 0.000010
100, "Sequential", 0.000009
100, "Parallel", 0.005396
100, "Built-in", 0.000011
100, "Sequential", 0.000008
100, "Parallel", 0.004294
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.005272
100, "Built-in", 0.000012
100, "Sequential", 0.000008
100, "Parallel", 0.005968
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.004480
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.005273
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004596
100, "Built-in", 0.000011
100, "Sequential", 0.000023
100, "Parallel", 0.004237
100, "Built-in", 0.000010
100, "Sequential", 0.000009
100, "Parallel", 0.005016
100, "Built-in", 0.000014
100, "Sequential", 0.000008
100, "Parallel", 0.005191
100, "Built-in", 0.000011
100, "Sequential", 0.000008
100, "Parallel", 0.004723
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004784
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004476
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004492
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005730
100, "Built-in", 0.000149
100, "Sequential", 0.000011
100, "Parallel", 0.005638
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.006861
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004601
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.007211
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004612
100, "Built-in", 0.000010
100, "Sequential", 0.000009
100, "Parallel", 0.006212
100, "Built-in", 0.000011
100, "Sequential", 0.000008
100, "Parallel", 0.004829
100, "Built-in", 0.000013
