Size, Type, Time
100, "Sequential", 0.000009
100, "Parallel", 0.004961
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.006847
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.008247
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.005241
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.007783
100, "Built-in", 0.000018
100, "Sequential", 0.000012
100, "Parallel", 0.008107
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.005699
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.007900
100, "Built-in", 0.000012
100, "Sequential", 0.000011
100, "Parallel", 0.012893
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.007159
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.005061
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.007260
100, "Built-in", 0.000012
100, "Sequential", 0.000011
100, "Parallel", 0.008776
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.012739
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.022985
100, "Built-in", 0.000016
100, "Sequential", 0.000011
100, "Parallel", 0.008109
100, "Built-in", 0.000012
100, "Sequential", 0.000011
100, "Parallel", 0.013871
100, "Built-in", 0.000016
100, "Sequential", 0.000011
100, "Parallel", 0.014927
100, "Built-in", 0.000019
100, "Sequential", 0.000010
100, "Parallel", 0.022874
100, "Built-in", 0.000016
100, "Sequential", 0.000010
100, "Parallel", 0.018921
100, "Built-in", 0.000016
100, "Sequential", 0.000011
100, "Parallel", 0.044153
100, "Built-in", 0.000016
100, "Sequential", 0.000010
100, "Parallel", 0.012634
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.009010
100, "Built-in", 0.000017
100, "Sequential", 0.000012
100, "Parallel", 0.010701
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.016991
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.008712
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.005144
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.006309
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004862
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.008220
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005469
100, "Built-in", 0.000021
100, "Sequential", 0.000009
100, "Parallel", 0.004450
100, "Built-in", 0.000073
100, "Sequential", 0.000008
100, "Parallel", 0.010817
100, "Built-in", 0.000012
100, "Sequential", 0.000008
100, "Parallel", 0.019596
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005450
100, "Built-in", 0.000011
100, "Sequential", 0.000008
100, "Parallel", 0.004691
100, "Built-in", 0.000010
100, "Sequential", 0.000010
100, "Parallel", 0.005173
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005383
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005519
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004807
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004461
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005001
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004639
100, "Built-in", 0.000010
100, "Sequential", 0.000008
100, "Parallel", 0.005457
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.004838
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.004815
100, "Built-in", 0.000010
100, "Sequential", 0.000009
100, "Parallel", 0.005664
100, "Built-in", 0.000015
100, "Sequential", 0.000137
100, "Parallel", 0.004712
100, "Built-in", 0.000017
100, "Sequential", 0.000011
