Size, Type, Time
100, "Sequential", 0.000010
100, "Parallel", 0.003204
100, "Built-in", 0.000021
100, "Sequential", 0.000009
100, "Parallel", 0.003810
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.004117
100, "Built-in", 0.000025
100, "Sequential", 0.000012
100, "Parallel", 0.005806
100, "Built-in", 0.000014
100, "Sequential", 0.000009
100, "Parallel", 0.004277
100, "Built-in", 0.000011
100, "Sequential", 0.000011
100, "Parallel", 0.014063
100, "Built-in", 0.000012
100, "Sequential", 0.000011
100, "Parallel", 0.006116
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.015546
100, "Built-in", 0.000011
100, "Sequential", 0.000011
100, "Parallel", 0.012834
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.009113
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.009251
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.013691
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.008155
100, "Built-in", 0.000052
100, "Sequential", 0.000010
100, "Parallel", 0.008507
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.012660
100, "Built-in", 0.000021
100, "Sequential", 0.000009
100, "Parallel", 0.008869
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.008868
100, "Built-in", 0.000013
100, "Sequential", 0.000008
100, "Parallel", 0.008839
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.008854
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.004802
100, "Built-in", 0.000042
100, "Sequential", 0.000012
100, "Parallel", 0.005427
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.004489
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004294
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.003887
100, "Built-in", 0.000010
100, "Sequential", 0.000011
100, "Parallel", 0.004994
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004932
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004461
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.005536
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005279
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004170
100, "Built-in", 0.000010
100, "Sequential", 0.000009
100, "Parallel", 0.004600
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.004684
100, "Built-in", 0.000010
100, "Sequential", 0.000012
100, "Parallel", 0.005556
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005215
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004790
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005202
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.004694
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004481
100, "Built-in", 0.000011
100, "Sequential", 0.000024
100, "Parallel", 0.005297
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.005478
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005727
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004808
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004089
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.007256
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.005322
100, "Built-in", 0.000100
100, "Sequential", 0.000009
100, "Parallel", 0.004087
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.005042
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.004227
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004466
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004607
100, "Built-in", 0.000011
1000, "Sequential", 0.000115
1000, "Parallel", 0.044477
1000, "Built-in", 0.000194
1000, "Sequential", 0.000166
1000, "Parallel", 0.043281
1000, "Built-in", 0.000188
1000, "Sequential", 0.000151
1000, "Parallel", 0.041334
1000, "Built-in", 0.000238
1000, "Sequential", 0.000115
1000, "Parallel", 0.040953
1000, "Built-in", 0.000189
1000, "Sequential", 0.000156
1000, "Parallel", 0.027660
1000, "Built-in", 0.000185
1000, "Sequential", 0.000137
1000, "Parallel", 0.023088
1000, "Built-in", 0.000186
1000, "Sequential", 0.000120
1000, "Parallel", 0.019427
1000, "Built-in", 0.000198
1000, "Sequential", 0.000150
1000, "Parallel", 0.038434
1000, "Built-in", 0.000225
1000, "Sequential", 0.000145
1000, "Parallel", 0.020313
1000, "Built-in", 0.000189
1000, "Sequential", 0.000371
1000, "Parallel", 0.024609
1000, "Built-in", 0.000470
1000, "Sequential", 0.000119
1000, "Parallel", 0.019180
1000, "Built-in", 0.000192
1000, "Sequential", 0.000384
1000, "Parallel", 0.023366
1000, "Built-in", 0.000185
1000, "Sequential", 0.000121
1000, "Parallel", 0.019316
1000, "Built-in", 0.000187
1000, "Sequential", 0.000885
1000, "Parallel", 0.045663
1000, "Built-in", 0.000205
1000, "Sequential", 0.000125
1000, "Parallel", 0.045568
1000, "Built-in", 0.000187
1000, "Sequential", 0.000139
1000, "Parallel", 0.019067
1000, "Built-in", 0.000184
1000, "Sequential", 0.000116
1000, "Parallel", 0.034091
1000, "Built-in", 0.000200
1000, "Sequential", 0.000116
1000, "Parallel", 0.052561
1000, "Built-in", 0.000189
1000, "Sequential", 0.000350
1000, "Parallel", 0.021595
1000, "Built-in", 0.000211
1000, "Sequential", 0.000119
1000, "Parallel", 0.020616
1000, "Built-in", 0.000414
1000, "Sequential", 0.000140
1000, "Parallel", 0.039004
1000, "Built-in", 0.000185
1000, "Sequential", 0.000181
1000, "Parallel", 0.022279
1000, "Built-in", 0.000205
1000, "Sequential", 0.000111
1000, "Parallel", 0.017071
1000, "Built-in", 0.000258
1000, "Sequential", 0.000114
1000, "Parallel", 0.033394
1000, "Built-in", 0.000190
1000, "Sequential", 0.000143
1000, "Parallel", 0.038792
1000, "Built-in", 0.000311
1000, "Sequential", 0.000115
1000, "Parallel", 0.036590
1000, "Built-in", 0.000210
1000, "Sequential", 0.000115
1000, "Parallel", 0.072502
1000, "Built-in", 0.000273
1000, "Sequential", 0.000133
1000, "Parallel", 0.053051
1000, "Built-in", 0.000241
1000, "Sequential", 0.000118
1000, "Parallel", 0.022221
1000, "Built-in", 0.000333
1000, "Sequential", 0.000161
1000, "Parallel", 0.026539
1000, "Built-in", 0.000213
1000, "Sequential", 0.000141
1000, "Parallel", 0.039106
1000, "Built-in", 0.000193
1000, "Sequential", 0.000172
1000, "Parallel", 0.031125
1000, "Built-in", 0.000183
1000, "Sequential", 0.000111
1000, "Parallel", 0.018926
1000, "Built-in", 0.000207
1000, "Sequential", 0.000241
1000, "Parallel", 0.039325
1000, "Built-in", 0.000199
1000, "Sequential", 0.000115
1000, "Parallel", 0.032247
1000, "Built-in", 0.000184
1000, "Sequential", 0.000116
1000, "Parallel", 0.040872
1000, "Built-in", 0.000203
1000, "Sequential", 0.000111
1000, "Parallel", 0.040218
1000, "Built-in", 0.000195
1000, "Sequential", 0.000122
1000, "Parallel", 0.042179
1000, "Built-in", 0.000218
1000, "Sequential", 0.000121
1000, "Parallel", 0.045550
1000, "Built-in", 0.000275
1000, "Sequential", 0.000123
1000, "Parallel", 0.022037
1000, "Built-in", 0.000195
1000, "Sequential", 0.000119
1000, "Parallel", 0.027509
1000, "Built-in", 0.000188
1000, "Sequential", 0.000120
1000, "Parallel", 0.034322
1000, "Built-in", 0.000187
1000, "Sequential", 0.000111
1000, "Parallel", 0.017960
1000, "Built-in", 0.000205
1000, "Sequential", 0.000119
1000, "Parallel", 0.019415
1000, "Built-in", 0.000183
1000, "Sequential", 0.000142
1000, "Parallel", 0.028144
1000, "Built-in", 0.000511
1000, "Sequential", 0.000129
1000, "Parallel", 0.023613
1000, "Built-in", 0.000291
1000, "Sequential", 0.000111
1000, "Parallel", 0.021124
1000, "Built-in", 0.000233
1000, "Sequential", 0.000114
1000, "Parallel", 0.031490
1000, "Built-in", 0.000219
1000, "Sequential", 0.000116
1000, "Parallel", 0.019016
1000, "Built-in", 0.000226
1000, "Sequential", 0.000111
1000, "Parallel", 0.018404
1000, "Built-in", 0.000180
10000, "Sequential", 0.010588
10000, "Parallel", 0.094252
10000, "Built-in", 0.002052
10000, "Sequential", 0.001897
10000, "Parallel", 0.105857
10000, "Built-in", 0.001852
10000, "Sequential", 0.001501
10000, "Parallel", 0.100948
10000, "Built-in", 0.001625
10000, "Sequential", 0.005734
10000, "Parallel", 0.075983
10000, "Built-in", 0.001563
10000, "Sequential", 0.001620
10000, "Parallel", 0.078129
10000, "Built-in", 0.001832
10000, "Sequential", 0.001804
10000, "Parallel", 0.059134
10000, "Built-in", 0.001597
10000, "Sequential", 0.001805
10000, "Parallel", 0.074352
10000, "Built-in", 0.001707
10000, "Sequential", 0.002372
10000, "Parallel", 0.110360
10000, "Built-in", 0.005790
10000, "Sequential", 0.005306
10000, "Parallel", 0.079189
10000, "Built-in", 0.001687
10000, "Sequential", 0.001558
