Size, Type, Time
100, "Sequential", 0.000010
100, "Parallel", 0.013417
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.021000
100, "Built-in", 0.000013
100, "Sequential", 0.000012
100, "Parallel", 0.014127
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.014351
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.021819
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.005487
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.008308
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.012151
100, "Built-in", 0.000016
100, "Sequential", 0.000010
100, "Parallel", 0.006270
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.004194
100, "Built-in", 0.000010
100, "Sequential", 0.000012
100, "Parallel", 0.006190
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.004218
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.008636
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.004595
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005520
100, "Built-in", 0.000048
100, "Sequential", 0.000009
100, "Parallel", 0.004583
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.005381
100, "Built-in", 0.000015
100, "Sequential", 0.000010
100, "Parallel", 0.006448
100, "Built-in", 0.000017
100, "Sequential", 0.000010
100, "Parallel", 0.006650
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.006510
100, "Built-in", 0.000011
100, "Sequential", 0.000019
100, "Parallel", 0.004389
100, "Built-in", 0.000011
100, "Sequential", 0.000011
100, "Parallel", 0.009061
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.004450
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004846
100, "Built-in", 0.000010
100, "Sequential", 0.000010
100, "Parallel", 0.007329
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.004563
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.009002
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.004527
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.005952
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.004691
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.004898
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.006241
100, "Built-in", 0.000014
100, "Sequential", 0.000011
100, "Parallel", 0.008127
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.006914
100, "Built-in", 0.000038
100, "Sequential", 0.000010
100, "Parallel", 0.004946
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.007954
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.004331
100, "Built-in", 0.000010
100, "Sequential", 0.000012
100, "Parallel", 0.006385
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.005438
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004263
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.011772
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.006503
100, "Built-in", 0.000015
100, "Sequential", 0.000010
100, "Parallel", 0.004841
100, "Built-in", 0.000010
100, "Sequential", 0.000009
100, "Parallel", 0.006776
100, "Built-in", 0.000015
100, "Sequential", 0.000012
100, "Parallel", 0.007925
100, "Built-in", 0.000011
