Size, Type, Time
100, "Sequential", 0.000009
100, "Parallel", 0.005724
100, "Built-in", 0.000021
100, "Sequential", 0.000011
100, "Parallel", 0.018886
100, "Built-in", 0.000017
100, "Sequential", 0.000010
100, "Parallel", 0.003460
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.003860
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.003612
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.008137
100, "Built-in", 0.000015
100, "Sequential", 0.000009
100, "Parallel", 0.005814
100, "Built-in", 0.000015
100, "Sequential", 0.000032
100, "Parallel", 0.022799
100, "Built-in", 0.000017
100, "Sequential", 0.000011
100, "Parallel", 0.007105
100, "Built-in", 0.000018
100, "Sequential", 0.000009
100, "Parallel", 0.006784
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.009272
100, "Built-in", 0.000014
100, "Sequential", 0.000010
100, "Parallel", 0.007223
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.003469
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.011263
100, "Built-in", 0.000017
100, "Sequential", 0.000008
100, "Parallel", 0.010102
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.006293
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.008153
100, "Built-in", 0.000016
100, "Sequential", 0.000010
100, "Parallel", 0.005618
100, "Built-in", 0.000014
100, "Sequential", 0.000009
100, "Parallel", 0.005979
100, "Built-in", 0.000017
100, "Sequential", 0.000009
100, "Parallel", 0.003509
100, "Built-in", 0.000017
100, "Sequential", 0.000012
100, "Parallel", 0.011998
100, "Built-in", 0.000015
100, "Sequential", 0.000010
100, "Parallel", 0.005918
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.005534
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.006565
100, "Built-in", 0.000015
100, "Sequential", 0.000010
100, "Parallel", 0.006066
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.004826
100, "Built-in", 0.000014
100, "Sequential", 0.000009
100, "Parallel", 0.004963
100, "Built-in", 0.000013
100, "Sequential", 0.000012
100, "Parallel", 0.005798
100, "Built-in", 0.000016
100, "Sequential", 0.000010
100, "Parallel", 0.026589
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.005105
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.004046
100, "Built-in", 0.000015
100, "Sequential", 0.000028
100, "Parallel", 0.013253
100, "Built-in", 0.000018
100, "Sequential", 0.000009
100, "Parallel", 0.008162
100, "Built-in", 0.000017
100, "Sequential", 0.000011
100, "Parallel", 0.025698
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.003169
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.008190
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.006160
100, "Built-in", 0.000014
100, "Sequential", 0.000010
100, "Parallel", 0.008738
100, "Built-in", 0.000014
100, "Sequential", 0.000026
100, "Parallel", 0.012522
100, "Built-in", 0.000018
100, "Sequential", 0.000012
100, "Parallel", 0.007065
100, "Built-in", 0.000013
100, "Sequential", 0.000013
100, "Parallel", 0.013242
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.005420
100, "Built-in", 0.000017
100, "Sequential", 0.000011
100, "Parallel", 0.005912
100, "Built-in", 0.000018
100, "Sequential", 0.000010
100, "Parallel", 0.005605
100, "Built-in", 0.000015
100, "Sequential", 0.000009
100, "Parallel", 0.003750
100, "Built-in", 0.000012
100, "Sequential", 0.000012
100, "Parallel", 0.012035
100, "Built-in", 0.000014
100, "Sequential", 0.000012
100, "Parallel", 0.008548
100, "Built-in", 0.000019
100, "Sequential", 0.000011
100, "Parallel", 0.004444
