Size, Type, Time
100, "Sequential", 0.000011
100, "Parallel", 0.008084
100, "Built-in", 0.000016
100, "Sequential", 0.000011
100, "Parallel", 0.007064
100, "Built-in", 0.000018
100, "Sequential", 0.000011
100, "Parallel", 0.006013
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.007144
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.006201
100, "Built-in", 0.000026
100, "Sequential", 0.000010
100, "Parallel", 0.016141
100, "Built-in", 0.000017
100, "Sequential", 0.000009
100, "Parallel", 0.006818
100, "Built-in", 0.000012
100, "Sequential", 0.000011
100, "Parallel", 0.008151
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.006549
100, "Built-in", 0.000015
100, "Sequential", 0.000012
100, "Parallel", 0.006937
100, "Built-in", 0.000012
100, "Sequential", 0.000011
100, "Parallel", 0.008490
100, "Built-in", 0.000012
100, "Sequential", 0.000011
100, "Parallel", 0.007130
100, "Built-in", 0.000016
100, "Sequential", 0.000010
100, "Parallel", 0.009593
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.003291
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.003720
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.009634
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.011384
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.009240
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.005978
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.014809
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.003374
100, "Built-in", 0.000015
100, "Sequential", 0.000010
100, "Parallel", 0.009624
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.007612
100, "Built-in", 0.000015
100, "Sequential", 0.000009
100, "Parallel", 0.015418
100, "Built-in", 0.000074
100, "Sequential", 0.000010
100, "Parallel", 0.007387
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.007746
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.014440
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.030275
100, "Built-in", 0.000016
100, "Sequential", 0.000012
100, "Parallel", 0.023287
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.046575
100, "Built-in", 0.000019
100, "Sequential", 0.000009
100, "Parallel", 0.014194
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.010785
100, "Built-in", 0.000020
100, "Sequential", 0.000013
100, "Parallel", 0.005109
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.005685
100, "Built-in", 0.000061
100, "Sequential", 0.000010
100, "Parallel", 0.023119
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.010893
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.009557
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.006112
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.007342
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.014525
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.018042
100, "Built-in", 0.000122
100, "Sequential", 0.000009
100, "Parallel", 0.004689
