Size, Type, Time
100, "Sequential", 0.000011
100, "Parallel", 0.080792
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.014540
100, "Built-in", 0.000019
100, "Sequential", 0.000012
100, "Parallel", 0.024984
100, "Built-in", 0.000128
100, "Sequential", 0.000010
100, "Parallel", 0.017544
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.071189
100, "Built-in", 0.000017
100, "Sequential", 0.000010
100, "Parallel", 0.030144
100, "Built-in", 0.000014
100, "Sequential", 0.000009
100, "Parallel", 0.009495
100, "Built-in", 0.000015
100, "Sequential", 0.000009
100, "Parallel", 0.039527
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.020023
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.038587
100, "Built-in", 0.000014
100, "Sequential", 0.000008
100, "Parallel", 0.042731
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.019486
100, "Built-in", 0.000017
100, "Sequential", 0.000011
100, "Parallel", 0.054364
100, "Built-in", 0.000017
100, "Sequential", 0.000009
100, "Parallel", 0.037095
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.030283
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.067550
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.035682
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.019632
100, "Built-in", 0.000252
100, "Sequential", 0.000009
100, "Parallel", 0.034605
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.009848
100, "Built-in", 0.000017
100, "Sequential", 0.000009
100, "Parallel", 0.066956
100, "Built-in", 0.000017
100, "Sequential", 0.000013
100, "Parallel", 0.039601
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.069427
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.037747
100, "Built-in", 0.000022
100, "Sequential", 0.000009
100, "Parallel", 0.035956
100, "Built-in", 0.000017
100, "Sequential", 0.000011
100, "Parallel", 0.096610
100, "Built-in", 0.000016
100, "Sequential", 0.000013
100, "Parallel", 0.020933
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.072561
100, "Built-in", 0.000012
100, "Sequential", 0.000012
100, "Parallel", 0.016526
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.030681
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.017634
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.016872
100, "Built-in", 0.000017
100, "Sequential", 0.000012
100, "Parallel", 0.024372
100, "Built-in", 0.000017
100, "Sequential", 0.000012
100, "Parallel", 0.034796
100, "Built-in", 0.000018
100, "Sequential", 0.000010
100, "Parallel", 0.029153
100, "Built-in", 0.000017
100, "Sequential", 0.000009
100, "Parallel", 0.024470
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.036433
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.013440
100, "Built-in", 0.000016
100, "Sequential", 0.000012
