Size, Type, Time
100, "Sequential", 0.000009
100, "Parallel", 0.006286
100, "Built-in", 0.000023
100, "Sequential", 0.000011
100, "Parallel", 0.014139
100, "Built-in", 0.000019
100, "Sequential", 0.000012
100, "Parallel", 0.006525
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.003660
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.017813
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.008092
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.008885
100, "Built-in", 0.000016
100, "Sequential", 0.000011
100, "Parallel", 0.005642
100, "Built-in", 0.000017
100, "Sequential", 0.000012
100, "Parallel", 0.008529
100, "Built-in", 0.000016
100, "Sequential", 0.000013
100, "Parallel", 0.007522
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.006206
100, "Built-in", 0.000012
100, "Sequential", 0.000015
100, "Parallel", 0.010296
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.008584
100, "Built-in", 0.000018
100, "Sequential", 0.000012
100, "Parallel", 0.014693
100, "Built-in", 0.000015
100, "Sequential", 0.000010
100, "Parallel", 0.007951
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.003158
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.003913
100, "Built-in", 0.000014
100, "Sequential", 0.000009
100, "Parallel", 0.010491
100, "Built-in", 0.000015
100, "Sequential", 0.000009
100, "Parallel", 0.008074
100, "Built-in", 0.000732
100, "Sequential", 0.000010
100, "Parallel", 0.004872
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.027293
100, "Built-in", 0.000015
100, "Sequential", 0.000009
100, "Parallel", 0.003960
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.004642
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.008001
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.010593
