Size, Type, Time
100, "Sequential", 0.000010
100, "Parallel", 0.005817
100, "Built-in", 0.000016
100, "Sequential", 0.000011
100, "Parallel", 0.015232
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.006446
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.006184
100, "Built-in", 0.000020
100, "Sequential", 0.000012
100, "Parallel", 0.009645
100, "Built-in", 0.000011
100, "Sequential", 0.000012
100, "Parallel", 0.009317
100, "Built-in", 0.000014
100, "Sequential", 0.000012
100, "Parallel", 0.018636
100, "Built-in", 0.000016
100, "Sequential", 0.000010
100, "Parallel", 0.011231
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.004502
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.008502
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.004130
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.004254
100, "Built-in", 0.000012
100, "Sequential", 0.000011
100, "Parallel", 0.030179
100, "Built-in", 0.000015
100, "Sequential", 0.000010
100, "Parallel", 0.009866
100, "Built-in", 0.000017
100, "Sequential", 0.000010
100, "Parallel", 0.015113
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.003724
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.025924
100, "Built-in", 0.000017
100, "Sequential", 0.000010
100, "Parallel", 0.004691
100, "Built-in", 0.000031
100, "Sequential", 0.000010
100, "Parallel", 0.005540
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.005850
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.004564
100, "Built-in", 0.000012
100, "Sequential", 0.000013
100, "Parallel", 0.007669
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.009894
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.010293
100, "Built-in", 0.000013
100, "Sequential", 0.000012
100, "Parallel", 0.005848
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.005950
100, "Built-in", 0.000017
100, "Sequential", 0.000013
100, "Parallel", 0.011227
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.003579
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.004205
100, "Built-in", 0.000016
100, "Sequential", 0.000010
100, "Parallel", 0.021950
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.003588
100, "Built-in", 0.000011
100, "Sequential", 0.000012
100, "Parallel", 0.007101
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.006046
100, "Built-in", 0.000016
100, "Sequential", 0.000012
100, "Parallel", 0.008959
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.008885
100, "Built-in", 0.000031
100, "Sequential", 0.000012
100, "Parallel", 0.016827
100, "Built-in", 0.000013
100, "Sequential", 0.000012
100, "Parallel", 0.014794
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.005250
100, "Built-in", 0.000012
100, "Sequential", 0.000012
100, "Parallel", 0.011704
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.003583
100, "Built-in", 0.000011
100, "Sequential", 0.000011
100, "Parallel", 0.015836
100, "Built-in", 0.000018
100, "Sequential", 0.000011
100, "Parallel", 0.009155
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.009028
100, "Built-in", 0.000017
100, "Sequential", 0.000011
100, "Parallel", 0.005316
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.006597
100, "Built-in", 0.000013
100, "Sequential", 0.000008
100, "Parallel", 0.009551
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.014452
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.008021
100, "Built-in", 0.000016
100, "Sequential", 0.000009
100, "Parallel", 0.008842
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.016079
100, "Built-in", 0.000019
1000, "Sequential", 0.000149
1000, "Parallel", 0.052814
1000, "Built-in", 0.000379
1000, "Sequential", 0.000118
1000, "Parallel", 0.061698
1000, "Built-in", 0.000280
1000, "Sequential", 0.000136
1000, "Parallel", 0.052928
1000, "Built-in", 0.000258
1000, "Sequential", 0.000146
1000, "Parallel", 0.129597
1000, "Built-in", 0.000318
1000, "Sequential", 0.000153
1000, "Parallel", 0.049816
1000, "Built-in", 0.000199
1000, "Sequential", 0.000122
1000, "Parallel", 0.055998
1000, "Built-in", 0.000246
1000, "Sequential", 0.000161
1000, "Parallel", 0.070335
1000, "Built-in", 0.000259
1000, "Sequential", 0.000118
1000, "Parallel", 0.053526
1000, "Built-in", 0.000197
1000, "Sequential", 0.000118
1000, "Parallel", 0.047074
1000, "Built-in", 0.000194
1000, "Sequential", 0.000194
1000, "Parallel", 0.039837
1000, "Built-in", 0.000253
1000, "Sequential", 0.000126
1000, "Parallel", 0.050751
1000, "Built-in", 0.000264
1000, "Sequential", 0.000123
1000, "Parallel", 0.051012
1000, "Built-in", 0.000281
1000, "Sequential", 0.000145
1000, "Parallel", 0.034252
1000, "Built-in", 0.000211
1000, "Sequential", 0.000138
1000, "Parallel", 0.062506
1000, "Built-in", 0.000202
1000, "Sequential", 0.000122
1000, "Parallel", 0.060652
1000, "Built-in", 0.000215
1000, "Sequential", 0.000117
1000, "Parallel", 0.043089
1000, "Built-in", 0.000335
1000, "Sequential", 0.000112
1000, "Parallel", 0.023995
1000, "Built-in", 0.000272
1000, "Sequential", 0.000152
1000, "Parallel", 0.048825
1000, "Built-in", 0.000305
1000, "Sequential", 0.000117
1000, "Parallel", 0.042095
1000, "Built-in", 0.000196
1000, "Sequential", 0.000135
1000, "Parallel", 0.045308
1000, "Built-in", 0.000287
1000, "Sequential", 0.000116
1000, "Parallel", 0.028628
1000, "Built-in", 0.000325
1000, "Sequential", 0.000118
1000, "Parallel", 0.022440
1000, "Built-in", 0.000438
1000, "Sequential", 0.000132
1000, "Parallel", 0.060799
1000, "Built-in", 0.000196
1000, "Sequential", 0.000117
1000, "Parallel", 0.042249
1000, "Built-in", 0.000229
1000, "Sequential", 0.000113
1000, "Parallel", 0.042172
1000, "Built-in", 0.000305
1000, "Sequential", 0.000245
1000, "Parallel", 0.044264
1000, "Built-in", 0.000348
1000, "Sequential", 0.000160
1000, "Parallel", 0.054327
1000, "Built-in", 0.000332
1000, "Sequential", 0.000121
1000, "Parallel", 0.044088
1000, "Built-in", 0.000245
1000, "Sequential", 0.000135
1000, "Parallel", 0.032419
1000, "Built-in", 0.000376
1000, "Sequential", 0.000114
1000, "Parallel", 0.047013
1000, "Built-in", 0.000260
1000, "Sequential", 0.000113
1000, "Parallel", 0.047914
1000, "Built-in", 0.000287
1000, "Sequential", 0.000138
1000, "Parallel", 0.053355
1000, "Built-in", 0.000288
1000, "Sequential", 0.000362
1000, "Parallel", 0.072424
1000, "Built-in", 0.000252
1000, "Sequential", 0.000129
1000, "Parallel", 0.154943
1000, "Built-in", 0.000269
1000, "Sequential", 0.000196
1000, "Parallel", 0.238192
1000, "Built-in", 0.000267
1000, "Sequential", 0.000148
1000, "Parallel", 0.165957
1000, "Built-in", 0.000466
1000, "Sequential", 0.000143
1000, "Parallel", 0.061452
1000, "Built-in", 0.000331
1000, "Sequential", 0.000130
1000, "Parallel", 0.028022
1000, "Built-in", 0.000207
1000, "Sequential", 0.000119
1000, "Parallel", 0.068937
1000, "Built-in", 0.000203
1000, "Sequential", 0.000137
1000, "Parallel", 0.060319
1000, "Built-in", 0.000193
1000, "Sequential", 0.000122
1000, "Parallel", 0.033000
1000, "Built-in", 0.000243
1000, "Sequential", 0.000148
1000, "Parallel", 0.051918
1000, "Built-in", 0.002304
1000, "Sequential", 0.000247
1000, "Parallel", 0.036670
1000, "Built-in", 0.000219
1000, "Sequential", 0.000122
1000, "Parallel", 0.075100
1000, "Built-in", 0.000238
1000, "Sequential", 0.000121
1000, "Parallel", 0.052103
1000, "Built-in", 0.000205
1000, "Sequential", 0.000120
1000, "Parallel", 0.047964
1000, "Built-in", 0.000237
1000, "Sequential", 0.000155
1000, "Parallel", 0.056663
1000, "Built-in", 0.000306
1000, "Sequential", 0.000118
1000, "Parallel", 0.037079
1000, "Built-in", 0.000366
1000, "Sequential", 0.000122
1000, "Parallel", 0.070660
1000, "Built-in", 0.000530
1000, "Sequential", 0.000119
1000, "Parallel", 0.098011
1000, "Built-in", 0.000262
10000, "Sequential", 0.021995
10000, "Parallel", 0.217284
10000, "Built-in", 0.001687
10000, "Sequential", 0.001789
10000, "Parallel", 0.176553
10000, "Built-in", 0.002226
10000, "Sequential", 0.002150
10000, "Parallel", 0.143624
10000, "Built-in", 0.001614
10000, "Sequential", 0.002274
10000, "Parallel", 0.125887
10000, "Built-in", 0.002377
10000, "Sequential", 0.003408
10000, "Parallel", 0.118833
10000, "Built-in", 0.004518
10000, "Sequential", 0.002115
10000, "Parallel", 0.074743
10000, "Built-in", 0.005299
10000, "Sequential", 0.001690
10000, "Parallel", 0.078070
10000, "Built-in", 0.001932
10000, "Sequential", 0.004779
10000, "Parallel", 0.119093
10000, "Built-in", 0.003311
10000, "Sequential", 0.004005
10000, "Parallel", 0.092588
10000, "Built-in", 0.001858
